구분,과목코드,분반,과목명,시수,부문,강의실
기초교양,12200002,6,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 402)"
기초교양,12200002,7,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 312)"
기초교양,12200002,8,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 502)"
기초교양,12200002,9,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 503)"
기초교양,12200002,10,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 314)"
기초교양,12200002,11,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 315)"
기초교양,12200002,12,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 502)"
기초교양,12200002,13,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 315)"
기초교양,12200002,14,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 315)"
기초교양,12200002,15,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 312)"
기초교양,12200002,16,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 402)"
기초교양,12200002,17,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화,8,9(60주년기념관 314)"
기초교양,12200002,18,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화3,4(60주년기념관 402)"
기초교양,12200002,19,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화3,4(60주년기념관 502)"
기초교양,12200002,20,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화,3,4(60주년기념관 503)"
기초교양,12200002,21,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 208)"
기초교양,12200002,22,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 209)"
기초교양,12200002,23,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 301)"
기초교양,12200002,24,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 312)"
기초교양,12200002,25,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 502)"
기초교양,12200002,26,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 502)"
기초교양,12200002,27,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화6,7(60주년기념관 502)"
기초교양,12200002,28,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화6,7(60주년기념관 503)"
기초교양,12200002,29,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화8,9(60주년기념관 502)"
기초교양,12200002,30,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화8,9(60주년기념관 503)"
기초교양,12200002,31,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화8,9(60주년기념관 301)"
기초교양,12200002,32,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금1,2(60주년기념관 313)"
기초교양,12200002,33,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금1,2(60주년기념관 314)"
기초교양,12200002,34,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금1,2(60주년기념관 315)"
기초교양,12200002,35,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화1,2(60주년기념관 502)"
기초교양,12200002,36,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화1,2(60주년기념관 503)"
기초교양,12200002,37,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화1,2(60주년기념관 602)"
기초교양,12200002,38,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화3,4(60주년기념관 313)"
기초교양,12200002,39,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금1,2(60주년기념관 312)"
기초교양,12200002,40,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금1,2(60주년기념관 402)"
기초교양,12200002,41,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 315)"
기초교양,12200002,42,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 314)"
기초교양,12200002,43,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 313)"
기초교양,12200002,44,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 602)"
기초교양,12200002,45,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 602)"
기초교양,12200002,46,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화3,4(60주년기념관 602)"
기초교양,12200002,47,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 208)"
기초교양,12200002,48,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 503)"
기초교양,12200002,49,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화6,7(60주년기념관 602)"
기초교양,12200002,50,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화6,7(60주년기념관 301)"
기초교양,12200002,51,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화3,4(60주년기념관 314)"
기초교양,12200002,52,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 602)"
기초교양,12200002,53,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 402)"
기초교양,12200002,54,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 312)"
기초교양,12200002,55,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 503)"
기초교양,12200002,56,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 503)"
기초교양,12200002,57,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"금8,9(자5호관 303)"
기초교양,12200003,1,고급영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화3,4(60주년기념관 301)"
기초교양,12200003,2,고급영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 301)"
기초교양,12200004,1,고급영어(듣기말하기),2-2-0-0,글로벌의사소통,"화1,2(60주년기념관 301)"
기초교양,12200004,2,고급영어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 301)"
기초교양,12200005,1,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"월1,2(율곡관(기숙사)식당동 101)"
기초교양,12200005,2,기초한국어(읽기쓰기),2-2-0-0,글로벌의사소통,"월3,4(율곡관(기숙사)식당동 101)"
